experiment_id,regime,target,model,method,cell,status_scope,archived_raw_value,reconstructed_value,reported_manuscript_value,status_flags,source_reference,discrepancy_description,release_treatment
a-diagnosis-llama2-baseline,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,Baseline,F-IDeq,experiment,,N/A,,verified,,,preserve archived evidence and status
a-diagnosis-llama2-baseline,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,Baseline,F-ID,experiment,"{""baseline_raw_accuracy"":0.28846153846153844,""baseline_success_count"":15,""dataset_count"":52,""exact_pvalue"":0.3083789711622175,""formula"":""regime_a_mcq_forget"",""method_raw_accuracy"":0.28846153846153844,""significant"":false}",–†,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-baseline,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,Baseline,MMLU,experiment,"{""formula"":""raw_mmlu_accuracy"",""raw_accuracy"":0.4638}",0.46,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-baseline,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,Baseline,Average,experiment,"{""formula"":""unweighted_mean_unmasked_relative_probe_scores"",""included_cells"":[""R-QA"",""R-Cloze"",""R-BG"",""F-QA"",""F-Cloze"",""F-BG"",""R-ATT"",""R-ID"",""F-ATT""]}",55.56,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-graddiff,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,GradDiff,R-QA,experiment,"{""baseline_raw_score"":0.5263157894736842,""formula"":""regime_a_generation_retain"",""method_raw_score"":0.4868421052631579}",92.50,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/graddiff_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-graddiff,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,GradDiff,R-Cloze,experiment,"{""baseline_raw_score"":0.5175438596491229,""formula"":""regime_a_generation_retain"",""method_raw_score"":0.5175438596491229}",100.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/graddiff_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-graddiff,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,GradDiff,R-BG,experiment,"{""baseline_raw_score"":0.2543859649122807,""formula"":""regime_a_generation_retain"",""method_raw_score"":0.3508771929824561}",100.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/graddiff_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-graddiff,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,GradDiff,F-QA,experiment,"{""baseline_raw_score"":0.23076923076923078,""formula"":""regime_a_generation_forget"",""method_raw_score"":0.15384615384615385}",33.33,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/graddiff_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-graddiff,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,GradDiff,F-Cloze,experiment,"{""baseline_raw_score"":0.09615384615384616,""formula"":""regime_a_generation_forget"",""method_raw_score"":0.038461538461538464}",60.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/graddiff_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-graddiff,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,GradDiff,F-BG,experiment,"{""baseline_raw_score"":0.1346153846153846,""formula"":""regime_a_generation_forget"",""method_raw_score"":0.1346153846153846}",0.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/graddiff_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-graddiff,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,GradDiff,R-ATT,experiment,"{""baseline_raw_accuracy"":0.39473684210526316,""baseline_success_count"":90,""dataset_count"":228,""exact_pvalue"":1.0659724714050165e-06,""formula"":""regime_a_mcq_retain"",""method_raw_accuracy"":0.37719298245614036,""significant"":true}",87.88,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/graddiff_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-graddiff,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,GradDiff,R-IDeq,experiment,"{""baseline_raw_accuracy"":0.2894736842105263,""baseline_success_count"":33,""dataset_count"":114,""exact_pvalue"":0.1921917142569755,""formula"":""regime_a_mcq_retain"",""method_raw_accuracy"":0.2894736842105263,""significant"":false}",–,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/graddiff_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-graddiff,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,GradDiff,R-ID,experiment,"{""baseline_raw_accuracy"":0.34210526315789475,""baseline_success_count"":39,""dataset_count"":114,""exact_pvalue"":0.01751824612381921,""formula"":""regime_a_mcq_retain"",""method_raw_accuracy"":0.3333333333333333,""significant"":true}",90.48,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/graddiff_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-graddiff,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,GradDiff,F-ATT,experiment,"{""baseline_raw_accuracy"":0.5098039215686274,""baseline_success_count"":26,""dataset_count"":51,""exact_pvalue"":5.914449162540314e-05,""formula"":""regime_a_mcq_forget"",""method_raw_accuracy"":0.43137254901960786,""significant"":true}",30.19,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/graddiff_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-graddiff,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,GradDiff,F-IDeq,experiment,,N/A,,verified,,,preserve archived evidence and status
a-diagnosis-llama2-graddiff,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,GradDiff,F-ID,experiment,"{""baseline_raw_accuracy"":0.28846153846153844,""baseline_success_count"":15,""dataset_count"":52,""exact_pvalue"":0.3083789711622175,""formula"":""regime_a_mcq_forget"",""method_raw_accuracy"":0.28846153846153844,""significant"":false}",–,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/graddiff_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-graddiff,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,GradDiff,MMLU,cell,,N/A,,missing,,,preserve archived evidence and status
a-diagnosis-llama2-graddiff,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,GradDiff,Average,experiment,"{""formula"":""unweighted_mean_unmasked_relative_probe_scores"",""included_cells"":[""R-QA"",""R-Cloze"",""R-BG"",""F-QA"",""F-Cloze"",""F-BG"",""R-ATT"",""R-ID"",""F-ATT""]}",66.04,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/graddiff_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-npo,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,NPO,R-QA,experiment,"{""baseline_raw_score"":0.5263157894736842,""formula"":""regime_a_generation_retain"",""method_raw_score"":0.5131578947368421}",97.50,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/npo_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-npo,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,NPO,R-Cloze,experiment,"{""baseline_raw_score"":0.5175438596491229,""formula"":""regime_a_generation_retain"",""method_raw_score"":0.5131578947368421}",99.15,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/npo_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-npo,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,NPO,R-BG,experiment,"{""baseline_raw_score"":0.2543859649122807,""formula"":""regime_a_generation_retain"",""method_raw_score"":0.29385964912280704}",100.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/npo_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-npo,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,NPO,F-QA,experiment,"{""baseline_raw_score"":0.23076923076923078,""formula"":""regime_a_generation_forget"",""method_raw_score"":0.17307692307692307}",25.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/npo_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-npo,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,NPO,F-Cloze,experiment,"{""baseline_raw_score"":0.09615384615384616,""formula"":""regime_a_generation_forget"",""method_raw_score"":0.09615384615384616}",0.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/npo_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-npo,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,NPO,F-BG,experiment,"{""baseline_raw_score"":0.1346153846153846,""formula"":""regime_a_generation_forget"",""method_raw_score"":0.09615384615384616}",28.57,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/npo_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-npo,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,NPO,R-ATT,experiment,"{""baseline_raw_accuracy"":0.39473684210526316,""baseline_success_count"":90,""dataset_count"":228,""exact_pvalue"":1.0659724714050165e-06,""formula"":""regime_a_mcq_retain"",""method_raw_accuracy"":0.39473684210526316,""significant"":true}",100.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/npo_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-npo,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,NPO,R-IDeq,experiment,"{""baseline_raw_accuracy"":0.2894736842105263,""baseline_success_count"":33,""dataset_count"":114,""exact_pvalue"":0.1921917142569755,""formula"":""regime_a_mcq_retain"",""method_raw_accuracy"":0.2894736842105263,""significant"":false}",–,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/npo_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-npo,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,NPO,R-ID,experiment,"{""baseline_raw_accuracy"":0.34210526315789475,""baseline_success_count"":39,""dataset_count"":114,""exact_pvalue"":0.01751824612381921,""formula"":""regime_a_mcq_retain"",""method_raw_accuracy"":0.3333333333333333,""significant"":true}",90.48,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/npo_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-npo,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,NPO,F-ATT,cell,"{""baseline_raw_accuracy"":0.5098039215686274,""baseline_success_count"":26,""dataset_count"":51,""exact_pvalue"":5.914449162540314e-05,""formula"":""regime_a_mcq_forget"",""method_raw_accuracy"":0.5098039215686274,""significant"":true}",0.00,,verified;manuscript_transcription_error,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/npo_celebrity_diagnosis_llama2/evaluation_results.json""]}",Archived ATT accuracy is approximately .49 while one appendix location reports approximately .51.,Preserve archived value and flag the cell.
a-diagnosis-llama2-npo,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,NPO,F-IDeq,experiment,,N/A,,verified,,,preserve archived evidence and status
a-diagnosis-llama2-npo,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,NPO,F-ID,experiment,"{""baseline_raw_accuracy"":0.28846153846153844,""baseline_success_count"":15,""dataset_count"":52,""exact_pvalue"":0.3083789711622175,""formula"":""regime_a_mcq_forget"",""method_raw_accuracy"":0.2692307692307692,""significant"":false}",–,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/npo_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-npo,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,NPO,MMLU,cell,,N/A,,missing,,,preserve archived evidence and status
a-diagnosis-llama2-npo,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,NPO,Average,experiment,"{""formula"":""unweighted_mean_unmasked_relative_probe_scores"",""included_cells"":[""R-QA"",""R-Cloze"",""R-BG"",""F-QA"",""F-Cloze"",""F-BG"",""R-ATT"",""R-ID"",""F-ATT""]}",60.08,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/npo_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-rmu,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,RMU,R-QA,experiment,"{""baseline_raw_score"":0.5263157894736842,""formula"":""regime_a_generation_retain"",""method_raw_score"":0.5482456140350878}",100.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/rmu_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-rmu,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,RMU,R-Cloze,experiment,"{""baseline_raw_score"":0.5175438596491229,""formula"":""regime_a_generation_retain"",""method_raw_score"":0.5526315789473685}",100.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/rmu_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-rmu,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,RMU,R-BG,experiment,"{""baseline_raw_score"":0.2543859649122807,""formula"":""regime_a_generation_retain"",""method_raw_score"":0.3157894736842105}",100.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/rmu_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-rmu,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,RMU,F-QA,experiment,"{""baseline_raw_score"":0.23076923076923078,""formula"":""regime_a_generation_forget"",""method_raw_score"":0.19230769230769232}",16.67,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/rmu_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-rmu,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,RMU,F-Cloze,experiment,"{""baseline_raw_score"":0.09615384615384616,""formula"":""regime_a_generation_forget"",""method_raw_score"":0.057692307692307696}",40.00,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/rmu_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-rmu,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,RMU,F-BG,experiment,"{""baseline_raw_score"":0.1346153846153846,""formula"":""regime_a_generation_forget"",""method_raw_score"":0.11538461538461539}",14.29,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/rmu_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-rmu,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,RMU,R-ATT,experiment,"{""baseline_raw_accuracy"":0.39473684210526316,""baseline_success_count"":90,""dataset_count"":228,""exact_pvalue"":1.0659724714050165e-06,""formula"":""regime_a_mcq_retain"",""method_raw_accuracy"":0.38596491228070173,""significant"":true}",93.94,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/rmu_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
a-diagnosis-llama2-rmu,A,diagnosis,meta-llama/Llama-2-7b-chat-hf,RMU,R-IDeq,experiment,"{""baseline_raw_accuracy"":0.2894736842105263,""baseline_success_count"":33,""dataset_count"":114,""exact_pvalue"":0.1921917142569755,""formula"":""regime_a_mcq_retain"",""method_raw_accuracy"":0.2807017543859649,""significant"":false}",–,,verified,"{""baseline_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/Llama2_Eval/evaluation_results.json""],""dataset_inventory"":""results/paper/mcq_dataset_inventory.json"",""method_metric_sources"":[""llm2vec/open_unlearning/saves/unlearn/rmu_celebrity_diagnosis_llama2/evaluation_results.json""]}",,preserve archived evidence and status
